Siecle,Nationalite,Philosophe,Texte,Oeuvre,Citation,Image,art,autrui,bonheur,conscience,corps,culture,désir,devoir,droit,échanges,État,histoire,idée,illusion,imagination,inconscient,jugement,justice,langage,liberté,logique,morale,mémoire,métaphysique,mort,nature,passions,pouvoir,politique,religion,science,sens,technique,temps,travail,vérité,violence,volonté
XIXe siecle,Français,Antoine Cournot,"L'histoire qui est sans loi (donc pas une science) ni complètement aléatoire (a des causes) est pour Cournot un chaos indescriptible; c'est bien la multitude d'événements explicables (dont on connait les causes) qui produisent des effets impossible à prévoir. Cournot travaille sur le hasard qui est ""l'expression de notre ignorance des causes"" (comme Laplace). Il le définie comme ""la rencontre de deux séries causales indépendantes"". Ainsi, il pose le probleme de corrélation vs causalité. Autrement dit, deux événements dont on connait les causes et les effets peuvent conduire à un nouvelle effet, inconnu. Ex : une tuile s'envole (à cause du vent) et en passant dans la rue (pour aller chercher du pain) elle me tombe dessus => hasard. C'est un prémisse à l'actuelle théorie du chaos. Cournot etudie la relation entre deux producteurs: ""le duopole"". Il travaille sur la micro-économie et instaure le ""principe de l'élasticité"" appele ""Equilibre de Nash-Cournot"": chaque firme considère que la production de l'autre est constante; la production est donc la variable stratégique, et non le prix. (cf courbe de l'offre et de la demande). Cela démontre l'interdépendance de deux firmes sur le même marché, amènant à un équilibre de Nash d'où le nom de la théorie.",,,https://upload.wikimedia.org/wikipedia/commons/8/81/Antoine_Augustin_Cournot.jpg,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,x,,,,,,,
XIXe siecle,Français,Antoine Cournot,"Cournot etudie la relation entre deux producteurs: ""le duopole"". Il travaille sur la micro-économie et instaure le ""principe de l'élasticité"" appele ""Equilibre de Nash-Cournot"": chaque firme considère que la production de l'autre est constante; la production est donc la variable stratégique, et non le prix. (cf courbe de l'offre et de la demande). Cela démontre l'interdépendance de deux firmes sur le même marché, amènant à un équilibre de Nash d'où le nom de la théorie.",,,https://upload.wikimedia.org/wikipedia/commons/8/81/Antoine_Augustin_Cournot.jpg,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVe siecle BC,Grec,Aristote,"Selon Aristote, la logique est la discipline déterminant si une opération de l'esprit est valide ou ne l'est pas, ou étude du syllogisme. C'est l'établissement d'une methode dont le but est de trouver la vérité : thèse, axiome, hypothèse, … Il raisonne par induction, c'est à dire à partir des hypothèses émises de manière intuitive, a l'inverse de la déduction (à partir de l'étude empirique de l'expérience).",,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Aristotle_Altemps_Inv8575.jpg,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,
IVe siecle BC,Grec,Aristote,"Pour Aristote, le monde est divisé en deux parties : la région céleste (de la métaphysique et des idées), là où règne une stabilité et réalité immuable, et la région sublunaire (la physique où la réalité humaine), là où les choses naissent et meurt au hasard. Les effets du monde sublunaire ne viennent donc que des causes de ce même monde contrairement à ce que pense Platon où le monde des idées forge celui de la réalité. La métaphysique aristotélicienne: qui vient avant la physique. Elle transcende le monde et est la cause intiale de tout changement. Elle renferme les idees de Vivant éternel et de perfection. Autrement dit, la metaphysique est le monde des dieux",,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Aristotle_Altemps_Inv8575.jpg,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,
IVe siecle BC,Grec,Aristote,"Dans la pure tradition grecque, la constitution de la vie bonne selon Aristote doit suivre la vertu: ""la juste moyenne entre deux extrémités fâcheuses : l'une par excès, l'autre par défaut"". La plus haute vertu est la contemplation. Elle nous renvoit au Souverain Bien et à l'exercice de la vertu et la modération. Le bonheur ne doit pas reposer sur des facteurs extérieurs comme la richesse ou le pouvoir.",,"""La juste moyenne entre deux extrémités fâcheuses : l'une par excès, l'autre par défaut.""",https://upload.wikimedia.org/wikipedia/commons/a/ae/Aristotle_Altemps_Inv8575.jpg,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVe siecle BC,Grec,Aristote,"La Substance (ou ""catégorie première) c'est la caractéristique profonde d'un objet. Elle est difficilement définissable et génère de nombreux débats en philosophie. On peut la rapprocher au concept d'essence sans être synonyme pour autant. Si l'essence est un attribut invariable d'un objet, la substance est sa propension, sa puissance à passer d'un état à l'autre. C'est la force qui engendre les accidents. Exemple: la substance de l'eau est sa propension à passer d'un état solide à un état liquide. Autrement dit, sa substance est un mouvement. L'essence est un attribut.L'essence ce sont tous les attributs ou les caractéristiques d'un objet. L'essence d'un triangle rectangle est d'avoir trois angles dont un angle droit. L'essence chimique de l'eau est la molécule H2O. Mais l'eau peut avoir plusieurs formes ou accidents (solide, liquide, gazeux). Sans ces accidents, l'eau ne peut exister. L'essence reste une abstraction ou conception de l'esprit, une analyse idéale accessible que par la raison.Indissociable du corps, c'est la faculté animant un organisme. Aristote en distingue 3 sortes : la végétative (faculté de se nourrir : les plantes), Sensitive (Végétative + faculté de toucher : les animaux et les hommes) et la Raisonnable (faculté de faire preuve de Morale : les hommes). Inverse de la Métaphysique au sens où elle fait partie du monde matériel et succède à la logique au sens où elle découle d'un raisonnement structuré. Il S'intéresse à la Cause, au pourquoi, à la production de la réalité. Il existe 4 types de causes : formelle (la statue représente une forme de déesse), matérielle (la statue est faite de marbre), efficiente (la statue est faite par son sculteur) et finale (la statue a pour cause finale la représentation de la divinité). A noter que Dieu est considéré comme le moteur de la première cause.matière + forme (union indissociable), étudiée par la physique. La puissance c'est un stade avant la finalité. La statue est en puissance dans le marbre, sa matière. Elle n'est pas encore réalisée. L'homme n'est que en puissance. Quant à l'acte, c'est le fait d'être pleinement réalisé. Il y distingue l'Acte pur, stade dans lequel l'objet est 100% réalisé. Dieu est le symbole de l'Acte pur. ",,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Aristotle_Altemps_Inv8575.jpg,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,
IVe siecle BC,Grec,Aristote,"L'homme est né pour vivre dans la Cité au milieu de ses semblables. L'homme étant animal politique, son bonheur est lié à celui de la société. Cette liaison est nette car l'exercice de la vertu doit être accompagné par de bonnes lois. Pour un Etat juste, il faut un gouvernement et une constitution. Aristote présente 3 différentes organisations : la Monarchie (un) qui peut dégénérer en tyrannie, l'Aristocratie (plusieurs) en oligarchie, la République (tous) en démocratie, se basant sur l'éducation et le partage des richesses.",,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Aristotle_Altemps_Inv8575.jpg,,,,,,x,,,,,x,,,,,,,x,,,,,,,,x,,,x,,,,,,,,,
XVIIIe siecle,Allemand,Arthur Schopenhauer,"Dans ""l'Art d'avoir toujours raison"", Schopenhauer decrit la dialectique, couramment utilisé chez les avocats. Si l'affaire et la loi ne s'""ajustent pas complètement"", ils peuvent ""tordre la loi jusqu'à ce qu'elles le paraissent"". L'Art d'avoir toujours raison recherche à comprendre les mécanismes via 36 stratagèmes qui donnerait raison à l'orateur qui les utilisent. La dialectique sera surtout utilisee pour celui qui a véritablement raison. 
Depuis l'Antiquité jusqu'au Moyen Âge, la logique et la dialectique étant synonyme. C'est Kant qui différencia la dialectique en la dénigrant à ""l'art de la discussion sophistique"". Depuis les temps modernes, Schopenhauer définit la logique comme : la science des lois de la pensée, ou la méthode de la raison. Et la dialectique comme ""l'Art de la controverse"".
 Cependant ce n'est pas donné à tout le monde, et Aristote confierait qu'il faut plutot choisir avec qui on débat pour ne pas se déshonorer en disant des absurdités. Schopenhaeur : ""de là, sur cent personnes, à peine une seule mérite que l'on débatte avec elle"". Voltaire  disait ""la paix vaut encore mieux que la vérité"". 
Les hommes sont donc subjectifs, les spectateurs donneront raison non pas à celui qui détient la vérité mais celui qui semble le mieux l'exposer. C'est finalement l'intelligence et l'adresse de l'orateur qui prime plutôt que la véricité de ses propos, à cause du manque de jugement des spectateurs. 
L'homme est un animal métaphysique, être aspirant à l'absolu. L'opinion générale provient finalement de deux ou trois personnnes, qui ont persuadé quelques autres… Et ainsi de suite jusqu'à ce que les idées soient ""acceptées par beaucoup d'autres dont la paresse a tôt fait de convaincre qu'il fallait mieux y croire plutot que de se fatiguer à prouver eux même la théorie"". L'opinion générale devenant un devoir, défendu ardemment par tous et ceux qui portent un jugement doivent rester silencieux. Il est proche des idees de Bayle. ",,,https://upload.wikimedia.org/wikipedia/commons/8/83/Arthur_Schopenhauer_colorized.png,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,x,,
XVIIIe siecle,Allemand,Arthur Schopenhauer,"Shopenhauer se questionne sur l'origine de la morale. Quelle certitude? Qu'elle vient de Dieu? La Morale ne se fonde non pas sur Dieu mais sur la raison (cf Kant et l'impératif catégorique) : vouloir le bien de l'autre comme si c'était le mien.

",,,https://upload.wikimedia.org/wikipedia/commons/8/83/Arthur_Schopenhauer_colorized.png,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
XVIIIe siecle,Allemand,Arthur Schopenhauer,"Pour l'auteur, dans un débat entre A et B. S'ils sont en désaccord, A considérera toujours que l'erreur vient de B sans jamais vérifier sa propre pensée. D'où l'utilisation de la ""Dialectique éristique"". Sa vanité couplée à la mauvaise foi empêche l'homme de porter un jugement pur et logique. Car si B convaint A qu'il a raison au début du débat et qu'à la fin de celui ci il a tord, A préférera toujours partir du principe que B a tord même s'il utilisera des arguments auquels il ne croit lui même pas. ",,,https://upload.wikimedia.org/wikipedia/commons/8/83/Arthur_Schopenhauer_colorized.png,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,
XVIIIe siecle,Allemand,Arthur Schopenhauer,"L'homme est voué au malheur, la vie et son espoir ne conduisent qu'à la souffrance. En cause, l'insatisfaction perpétuelle du désir. Nous oscillons entre l'ennui et la souffrance. Le bonheur est donc le court moment où le désir est satisfait, avant de succéder à l'ennui.
L'art est le seul moyen d'échapper à cette souffrance grâce à la contemplation de la beauté. Ainsi, le seul bonheur n'est pas dans la satisfaction des désirs mais dans le Nirvana, c’est-à-dire l'affranchissement du désir et du vouloir. ",,,https://upload.wikimedia.org/wikipedia/commons/8/83/Arthur_Schopenhauer_colorized.png,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
XVIIIe siecle,Français,Auguste Comte,"L'Etat idéal pour Comte est celui où gouvernent les scientifiques. Comte observe l'histoire avec un œil de progrès. Il constate positivement le passage d'une société féodale et aristocratique vers une société industrielle et moderne.
",,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Auguste_Comte.jpg,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,,x,,,,,,,
XVIIIe siecle,Français,Auguste Comte,"Comte est un penseur du Positivisme, doctrine selon laquelle l'homme ne peut et ne pourra jamais comprendre la métaphysique et l'essence des choses et des idées. Toute notre véritable connaissance, notre vraie certitude se basent sur l'expérience et la science, celles des lois physiques. L'au-delà est exclu du savoir. Tout comme le pensait Kant l'homme passe par 3 états : l'étape théologique (Dieu est l'explication des causes physiques), l'étape métaphysiques (croyance en des abstractions), et enfin l'étape positive (l'abandon du pourquoi et l'attachement au comment = l'étude de la physique).

",,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Auguste_Comte.jpg,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,x,,
XVIIIe siecle,Français,Auguste Comte,"La morale de Comte se fonde sur les grands principes universels tels que l'ordre, le progrès et l'altruisme. Pour Auguste Comte, la vraie religion ""universelle"" est l'humanité elle-même. ""l’Humanité se compose de plus de morts que de vivants"", il entend par cette phrase tout le caractère sacrée déjà ancrée dans l'espèse humaine. Toute autre croyance relève du ""fétichisme"". La religion reste cependant un outil spirituel nécessaire à l'âme, tout comme ""la santé envers le corps"". Comte serait le fondateur de la sociologie moderne : ce serait l'étude positive de l'ensemble des lois fondamentales propres aux phénomènes sociaux.",,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Auguste_Comte.jpg,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,
XIIe siecle,Andalou,Averroes,"Averroes se base sur 3 principes : 1-l'usage de la raison, cadeau de Dieu, 2-l'unité de la vérité accessible seulement par la foi ET la raison et enfin 3-l'interprétation du Coran pour trouver le lien entre la raison et la religion. Il prone harmonie entre la science et la foi. Tout comme Platon, l'univers ayant pour dessein l'homme a forcément été créé par un artisan (Dieu). Cela prouverait l'existence de Dieu. Les scientifiques chercheront donc à comprendre la ""recette"", les lois naturels qui régissent cette œuvre. Il y a là une approche plus scientifique que théologique chez Averroes.",,,https://upload.wikimedia.org/wikipedia/commons/b/bd/The_Disgrace_of_Averroes_-_Vies_Des_Savants_Illustr%C3%A9s.jpg,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,x,,,,,,,
XIIe siecle,Andalou,Averroes,"Pour Averroes, la politique bonne doit savoir séparer le pouvoir spirituel et religieux du pouvoir dit temporel ou administratif celui du roi. On retrouve sa philosophie de séparation entre la foi et la raison. Il est l'un des premiers a annoncé l'existence d'une intelligence collective où chacun peut contribuer à la politique. C'est un embryon de laïcité qui conduit Averroes à être considéré comme réformiste.Tout comme Platon, seule l'aristocratie des philosophes saurait gouverner avec sagesse.",,,https://upload.wikimedia.org/wikipedia/commons/b/bd/The_Disgrace_of_Averroes_-_Vies_Des_Savants_Illustr%C3%A9s.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,
XVIIe siecle,Hollandais,Baruch Spinoza,"Dans son ouvrage, Spinoza défend strictement le fait que la theologie se doit de s'en tenir uniquement à son domaine strictement religieux. Il y a ouvertement une distinction entre la raison qui doit régir la politique et la foi ou la croyance, domaine de la théologie. Spinoza pronera la séparation de l'Eglise et de l'Etat, où la première se doit de se soumettre à la deuxième. L'Etat ne doit se soumettre à aucune autre loi dont il n'est pas la source. Il est à la fois le garant de la raison et par extension de la liberté de penser et en même temps l'enfant de cette même raison, dont le pacte de la sortie de l'état de nature en est le parent.
La forme de l'Etat se peut être démocratique ou aristocratiquement, qu'en bien même les libertés et la sécurité des individus sont protégées.En soumettant la Bible à une lecture rationnelle, et défendant l'idée que la liberté de penser ne peut s'épanouir qu'en dehors de la sphère religieuse, Spinoza fait scandale à son époque. Dans le Traité théologico-politique, Spinoza dénonce l'autoritarisme et l'intolérance des théologiens qui, avec leur dogmes sous couvert de la volonté divine, écrase les libertés, et les écartent de leur véritable source : la raison et le savoir. Il ajoute que l'Etat (démocratique) et ses lois sont les garants de cette liberté. 
 Spinoza pronera donc la séparation de l'Eglise et de l'Etat.La vie humaine se définie par la raison, commune aux hommes, conduisant à un Etat rationnel démocratique, seule entité capable d'ouvrir la voie à la liberté. Les citoyens participent activement aux lois et jouissent de tous les avantages de la cité (droit civil, liberté, égalité en droit, liberté d'opinion, justice)","""Traité théologico-politique""",,https://upload.wikimedia.org/wikipedia/commons/a/af/BaruchSpinoza.jpg,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,
XVIIe siecle,Hollandais,Baruch Spinoza,"Présentée sous forme de définitions et d'axiomes, démarche lancée par Descartes au même siècle, l'idée de l'oeuvre de Spinoza rejete toute transcendance divine, et identifie Dieu à la Nature. Dieu serait une substance unique, autoformée. Contrairement à la représentation judéo-chrétienne ou cartésienne, il est pas transcendant. ""Dieu ou la nature"" (Deus sive natura) sont deux notions identiques, la substance de Dieu est celle de la nature. En cela, Spinoza sera considéré comme un athée, où toute représentation anthropomorphique ou paternaliste de Dieu est un non sens. Ces interprétations ne servent que des intérêts de pouvoirs sous l'égide de la théologie. (Spinoza fut persécuté et condamné par toutes les Eglises pour cette idée). 
",,,https://upload.wikimedia.org/wikipedia/commons/a/af/BaruchSpinoza.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,
XVIIe siecle,Hollandais,Baruch Spinoza,"Dans le livre III de l'Ethique, Spinoza pense au contraire de la théorie du désir qui stipule que l'homme est déterminé de maniere transcendante. Spinoza emploie le terme de conatus pour désigner l'effort par lequel chaque chose s'efforce de persévérer dans son être. Pour simplifier cette idée: ""ce n'est pas parce qu'une chose est bonne que nous la désirons, mais c'est parce que nous la désirons qu'elle est bonne"". Ainsi, dans la pensée spinoziste, les désirs de l'homme ne sont pas dictés pas une transcendance divine mais par lui même, ce qui le place au milieu du tableau; à l'inverse du moralisme théologique.",,,https://upload.wikimedia.org/wikipedia/commons/a/af/BaruchSpinoza.jpg,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
XVIIe siecle,Hollandais,Baruch Spinoza,"La clé de la morale spinoziste repose sur cette idée: agir bien, c'est agir dans la réalisation de soi, de son être. L'inverse de la morale est son asservissement, notamment à l'aspiration divine, à l'envie du paradis ou la peur des enfers. La nature est la force extérieure qui exerce une influence sur l'homme. D'elle, découlent la Joie et la Tristesse mais aussi la souffrance par la servitude. L'homme dépend de causes externes. 
",,,https://upload.wikimedia.org/wikipedia/commons/a/af/BaruchSpinoza.jpg,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
XVIIe siecle,Hollandais,Baruch Spinoza,"Le rationalisme efface le surnaturel. Il y a donc ouvertement une distinction entre la raison qui doit régir la politique et la foi ou la croyance, domaine de la théologie. La vérité provient de la raison, qui régit ou doit régir le politique. A l'inverse, la piété issue de la foi conduit à la soumission ou à l'obéissance. Elle n'est en rien vectrice du vrai. Vertu: Avoir pleine connaissance de ses passions via des idées claires et distinctes. Il faut connaître le réel. La béatitude n'est pas récompense de la vertu (extrinsèque) mais la vertu elle-même (intrinsèque).
",,,https://upload.wikimedia.org/wikipedia/commons/a/af/BaruchSpinoza.jpg,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,x,,
XVIIe siecle,Hollandais,Baruch Spinoza,"Dans le livre II de l'[Ethique], Spinoza expose ""l'ordre et la connexion des idées sont les mêmes que l'ordre et la connexion des choses"". En ce sens, il pense que l'idée ou tout autre concept métaphysiques renvoie à un objet. ""L'âme est l'idée du corps"". En revanche pour Spinoza, ils ne sont pas des objets, contrairement à la tendance cartésienne. Dans le livre III de l'[Ethique], Spinoza pense à l'inverse de la théorie du désir qui stipule que le désir est déterminé de manire transcendante. Spinoza emploie le terme de conatus pour désigner l'effort par lequel chaque chose s'efforce de persévérer dans son être. Pour simplifier cette idée: ""ce n'est pas parce qu'une chose est bonne que nous la désirons, mais c'est parce que nous la désirons qu'elle est bonne"". Ainsi, dans la pensée spinoziste, les désirs de l'homme ne sont pas dictés pas une transcendance divine mais par lui même, ce qui le place au milieu du tableau; à l'inverse du moralisme théologique. Dans la conception de la morale spinoziste, l'imagination peut conduire l'homme a son asservissement a des fins extérieurs à lui-même, le conduisant à la tristesse et la diminution de sa puissance.",,,https://upload.wikimedia.org/wikipedia/commons/a/af/BaruchSpinoza.jpg,,,,,,,x,,,,,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,
XVIIIe siecle,Français,Benoît de_Maillet,"Benoit de Maillet défend l'hypothèse de la montée et baisse des eaux dans l'histoire de la terre en refutant toute interpretation biblique. Il se moque du Déluge qui ne durerait que 40 jours. Pour lui, tous les animaux dont les hommes descendent de la mer et c'est par un processus lent que les être ont évolué. Ses propos ne sont pas tous exempts d'erreurs, il affirmait que certains peuples seraient plus barbares à cause de leur sortie plus récente des eaux originelles.",,,https://upload.wikimedia.org/wikipedia/commons/9/9e/Beno%C3%AEt_de_Maillet.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
XVIIIe siecle,Français,Bernard_Le_Bouyer de_Fontenelle,"Fontenelle est celebre pour l'echange epistolaire avec Madame la Marquise a propos de l'astronomie, démontant les pensées antiques et scolastiques. Il y fait la demonstration elegante que la Terre tourne autour du soleil.",,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Bernard_Fontenelle.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
XIXe siecle,Britannique,Bertrand Russell,"Russel a une approche très mathématique de la logique, ou plutôt que la logique fonde les mathématiques. ""La logique est la jeunesse des mathématiques"". Contrairement à Aristote qui disait que la logique est l'étude de la substance et des attributs (l'étude de l'objet lui même), Russel voit en la logique l'étude des relations, ce sont les éléments de base d'un objet. Ainsi, penser un objet c'est faire l'étude de ses relations via une démonstration mathématique. On parle donc d'axiomisation et non de système. L'axiomisation de la logique c'est la recherche des classes, des ensembles d'un objet. L'atomisme logique de Russel différencie une proposition complexe et une proposition atomique. La seconde est un ensemble de propositions plus simples qui sont bien plus faciles à élucider. C'est un travail de décomposition logique pour déterminer si une proposition est vraie ou fausse.Russel étudie la conception classique de la vérité. C’est-à-dire la relation entre la croyance et les faits. Un fait irréfutable est un fait expérimenté directement. Par exemple : j'ai faim. En revanche, comment être sûr du fait ""tu as faim?"". Ainsi, il y a des croyances plus ou moins certaines selon la connaissance directe qu'on en a. Notre seule certitude est donc ce qui se rapporte directement à nous même. L'exercice pour vérifier si ma croyance est vraie est de reprendre la thèse atomiste de Russel et de décomposer ces choses complexes en choses plus simples.Russel ne pense pas que la matière et l'esprit sont indépendants mais il y aurait une substance neutre les liant.Pour la pensée de Russel, comme Dieu sort de notre perception sensible, il est impossible de démontrer l'existence de Dieu. On ne peut le découper en choses plus simples, plus facilement démontrables.",,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Bertrand_Russell_1957.jpg,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,
